FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DL;UL;DJ;UJ;DTH;UTH;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_OPERATOR;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1)
TWITTER___GENERAL___MOS;5;2019-05-16 18:29:45.225000;b74aad70-0b99-4c4f-a932-509b36ef7b7d;2019-05-16 18:30:05.516000;34037563,53;0;0;343937,08;1473468,96;10330774,74;8966571,501;5;5;UNKNOWN;UNKNOWN;20815;-97;4;False;True;False;False;True;-56;5
INSTAGRAM___GENERAL___MOS;5;2019-05-17 12:57:53.945000;b74aad70-0b99-4c4f-a932-509b36ef7b7d;2019-05-17 12:57:58.018000;2949908,38;0;0;578667,76;212626,95;9431495,087;12785964,18;5;5;UNKNOWN;UNKNOWN;20801;-97;4;False;True;False;False;True;-62;5
SKYPE___CHAT_VIDEO_MESSAGE___MOS;5;2019-05-17 13:03:06.441000;b74aad70-0b99-4c4f-a932-509b36ef7b7d;2019-05-17 13:03:29.834000;4876166,66;0;0;835647,27;388209,84;4153509,918;10012423,88;5;5;UNKNOWN;UNKNOWN;20801;-91;4;False;True;False;False;True;-71;4
NETFLIX___GENERAL___MOS;5;2019-06-17 11:09:55.684000;2e604f35-a694-4898-b0e9-5cfbcd785fd4;2019-06-17 11:10:12.147000;2622618,81;0;0;361845,76;223645,97;9951954,45;11286970,24;5;5;UNKNOWN;UNKNOWN;20815;-73;5;False;True;False;False;True;-69;4
VIBER___GENERAL___MOS;5;2019-06-17 11:24:21.603000;912525d0-1113-4b1e-9a7b-dc022ef005ba;2019-06-17 11:24:39.745000;2245676,07;0;0;193027,02;169245,48;9770906,29;15521064,44;5;5;UNKNOWN;UNKNOWN;20815;-75;5;False;True;False;False;True;-65;4
YOUTUBE___VIDEO_PLAYBACK___S_1440___MOS;5;2019-06-17 11:25:01.795000;912525d0-1113-4b1e-9a7b-dc022ef005ba;2019-06-17 11:24:39.745000;2245676,07;0;0;193027,02;169245,48;9770906,29;15521064,44;5;5;UNKNOWN;UNKNOWN;20815;-75;5;False;True;False;False;True;-65;4
YOUTUBE___COMMENT___MOS;5;2019-06-17 14:10:48.371000;86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d;2019-06-17 14:10:27.888000;3595185,15;0;0;414335,76;215974,04;2249565,159;9497517,647;5;5;UNKNOWN;UNKNOWN;;-75;5;False;True;False;False;True;-68;3
WHATSAPP___GENERAL___MOS;5;2019-06-17 14:13:31.791000;912525d0-1113-4b1e-9a7b-dc022ef005ba;2019-06-17 14:13:35.046000;3428869,25;0;0;531607,24;282586,19;10443743,3;19239776,05;5;5;UNKNOWN;UNKNOWN;20815;-89;5;False;True;False;False;True;-78;3
SNAPCHAT___GENERAL___MOS;4;2019-06-17 14:13:50.790000;86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d;2019-06-17 14:13:50.060000;2855095,56;0;0;431511,45;221871,17;13459051,34;16742506,38;5;5;UNKNOWN;UNKNOWN;;-93;4;False;True;False;False;True;-82;2
INSTAGRAM___GENERAL___MOS;5;2019-06-17 14:17:00.599000;86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d;2019-06-17 14:17:26.992000;2673736,3;0;0;328494,64;207524,32;10904864,05;11157897,08;5;5;UNKNOWN;UNKNOWN;;-89;5;False;True;False;False;True;-80;2
EMAIL___GENERAL___MOS;5;2019-06-19 10:08:23.374000;12116e97-7d56-4d5c-bbfa-b14379ebceb0;2019-06-19 10:08:09.058000;2330956,07;0;0;172071,5;165822,58;10879413,23;18554842,5;5;5;UNKNOWN;UNKNOWN;;-81;5;False;True;False;False;True;-66;4
YOUTUBE___VIDEO_PLAYBACK___P_480___MOS;5;2019-06-25 15:58:01.913000;e16fa793-50d5-465a-b2c7-068092626b95;2019-06-25 15:57:58.891000;2483519,55;0;0;233755,64;212969,58;10079870,36;14183895,46;5;5;UNKNOWN;UNKNOWN;;-67;5;False;True;False;False;True;-69;3
YOUTUBE___VIDEO_PLAYBACK___P_360___MOS;5;2019-06-26 10:31:36.095000;26085c71-3a85-4ac0-8999-411dd70d478b;2019-06-26 10:31:52.257000;2474555,44;0;0;232472,74;247841,6;9896656,592;10786506,75;5;5;UNKNOWN;UNKNOWN;;-87;5;False;True;False;False;True;-68;3
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS;5;2019-07-08 10:59:51.945000;6953c3b1-0a0c-4388-8514-6c7f6157150d;2019-07-08 11:00:14.195000;66369069,07;0;0;485304,78;1733161,92;18033919,27;8999064,861;5;5;UNKNOWN;UNKNOWN;;-113;2;False;True;False;False;True;-29;5
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS;5;2019-07-08 10:59:51.945000;6953c3b1-0a0c-4388-8514-6c7f6157150d;2019-07-08 11:00:14.195000;66369069,07;0;0;485304,78;1733161,92;18033919,27;8999064,861;5;5;UNKNOWN;UNKNOWN;;-113;2;False;True;False;False;True;-29;5
EMAIL___GENERAL___MOS;5;2019-07-09 11:18:39.206000;6953c3b1-0a0c-4388-8514-6c7f6157150d;2019-07-09 11:18:39.021000;20871447,46;0;0;408195,46;457238,38;9732377,289;17283292,07;5;5;UNKNOWN;UNKNOWN;;-113;2;False;True;False;False;True;-65;4
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS;5;2019-07-09 11:22:33.055000;6953c3b1-0a0c-4388-8514-6c7f6157150d;2019-07-09 11:20:39.473000;20253259,34;0;0;264801,56;381999,36;8520109,521;13135518,97;1;5;UNKNOWN;UNKNOWN;;-113;2;False;True;False;False;True;-66;4
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS;5;2019-07-09 11:22:33.055000;6953c3b1-0a0c-4388-8514-6c7f6157150d;2019-07-09 11:20:39.473000;20253259,34;0;0;264801,56;381999,36;8520109,521;13135518,97;1;5;UNKNOWN;UNKNOWN;;-113;2;False;True;False;False;True;-66;4
YOUTUBE___GENERAL___MOS;3;2019-07-10 09:45:16.489000;cb37e0a5-814b-4d20-a5e4-7def1641e7b5;2019-07-10 09:45:13.164000;1765587115;0;0;16007503,66;23149664,38;1347716,613;42874,88351;5;3;3G;HSUPA;63601;-83;5;False;True;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-10 15:59:25.995000;547119ec-f0f8-4246-b8b6-db8a7c881e5c;2019-07-10 15:59:41.812000;172211718;0,25;0;1462940,373;967358,4;6904033,241;6688152,991;1;1;4G;LTE;63601;-92;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:01:35.199000;547119ec-f0f8-4246-b8b6-db8a7c881e5c;2019-07-10 16:01:29.867000;179543672,7;0,14;0;730739,4419;1780200,72;6550998,812;1423289,282;5;3;4G;LTE;63601;-95;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-10 16:18:20.387000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:18:07.842000;205577013,6;0,15;0;421224,1176;2832199,08;9448043,229;1255947,446;5;3;4G;LTE;63601;-100;4;False;False;False;False;False;+Inf;2147483647
YOUTUBE___GENERAL___MOS;3;2019-07-10 16:18:30.920000;2d8046c6-adc9-4fe1-ab95-8ed857d6de23;2019-07-10 16:18:53.835000;192238904,1;0,15;0;479808,2353;11376777,94;9199998,872;1861018,515;5;3;4G;LTE;63601;-99;4;False;False;False;False;False;+Inf;2147483647
